Country,Clicks,Impressions,CTR,Position
United States,0,1105,0%,7.17
United Kingdom,0,700,0%,6.2
Canada,0,52,0%,11.71
Germany,0,34,0%,5.71
India,0,32,0%,32.31
Brazil,0,27,0%,12.26
Netherlands,0,24,0%,6.38
Spain,0,19,0%,11
France,0,18,0%,4.94
Vietnam,0,17,0%,28.18
Egypt,0,16,0%,25.5
Italy,0,15,0%,13.27
Australia,0,15,0%,14.07
Trinidad & Tobago,0,13,0%,6.23
Philippines,0,13,0%,27.23
Jamaica,0,10,0%,4.9
Austria,0,10,0%,7.6
Portugal,0,10,0%,15.6
Morocco,0,9,0%,10.11
Argentina,0,9,0%,12
South Korea,0,8,0%,7.25
Pakistan,0,8,0%,12.62
Saudi Arabia,0,8,0%,21.62
Thailand,0,8,0%,29.25
Belgium,0,7,0%,7.57
Japan,0,7,0%,9.43
Poland,0,7,0%,10.57
Nigeria,0,7,0%,11.14
Ukraine,0,7,0%,11.86
Indonesia,0,7,0%,14.86
Mexico,0,6,0%,9.83
Colombia,0,6,0%,16.5
Malaysia,0,6,0%,24.83
Romania,0,5,0%,5
Israel,0,5,0%,5.6
Ireland,0,5,0%,7.6
Switzerland,0,5,0%,10.6
Algeria,0,4,0%,2
New Zealand,0,4,0%,5.75
Dominican Republic,0,4,0%,8.25
Russia,0,4,0%,9.25
Ecuador,0,4,0%,10.25
Oman,0,4,0%,21.75
Turkey,0,4,0%,26.75
Belize,0,3,0%,3.33
South Africa,0,3,0%,3.33
Sweden,0,3,0%,5.67
Chile,0,3,0%,6.33
Finland,0,3,0%,6.33
Norway,0,3,0%,6.67
Ghana,0,3,0%,8
Slovakia,0,3,0%,8.67
Serbia,0,3,0%,9
Bangladesh,0,3,0%,17.33
Iraq,0,2,0%,4
Bahamas,0,2,0%,4.5
Qatar,0,2,0%,5
Bolivia,0,2,0%,5.5
Jersey,0,2,0%,5.5
Curaçao,0,2,0%,6.5
Hungary,0,2,0%,6.5
Tunisia,0,2,0%,6.5
El Salvador,0,2,0%,7.5
China,0,2,0%,8.5
Lithuania,0,2,0%,8.5
Aruba,0,2,0%,9.5
United Arab Emirates,0,2,0%,9.5
Barbados,0,2,0%,9.5
British Virgin Islands,0,2,0%,10
Iran,0,2,0%,11
Venezuela,0,2,0%,23.5
U.S. Virgin Islands,0,1,0%,1
Costa Rica,0,1,0%,2
Georgia,0,1,0%,2
Singapore,0,1,0%,2
Bulgaria,0,1,0%,3
Kenya,0,1,0%,3
Sierra Leone,0,1,0%,3
Uzbekistan,0,1,0%,3
Andorra,0,1,0%,4
Cyprus,0,1,0%,4
Czechia,0,1,0%,4
Dominica,0,1,0%,4
Lebanon,0,1,0%,4
Albania,0,1,0%,5
Denmark,0,1,0%,5
Greece,0,1,0%,5
Hong Kong,0,1,0%,5
Bosnia & Herzegovina,0,1,0%,6
Honduras,0,1,0%,6
Luxembourg,0,1,0%,6
Peru,0,1,0%,6
Uganda,0,1,0%,7
Cuba,0,1,0%,8
Iceland,0,1,0%,8
Armenia,0,1,0%,9
Croatia,0,1,0%,9
Panama,0,1,0%,9
Paraguay,0,1,0%,9
Ethiopia,0,1,0%,10
Somalia,0,1,0%,10
St. Lucia,0,1,0%,11
Zimbabwe,0,1,0%,11
Estonia,0,1,0%,15
